1,1
1,2
345,3
857,11
915,1
395,5
125,6
751,10
852,7
73,8
396,6
477,8
644,3
544,10
115,2
942,7
633,0
535,2
415,2
743,1
658,5
696,0
386,6
199,0
562,5
987,0
85,12
163,3
253,5
1044,9
469,6
292,7
125,10
451,12
655,0
634,13
822,12
332,2
507,1
232,9
518,3
583,4
76,0
261,11
735,8
935,7
224,2
694,11
106,7
569,2
377,3
718,3
494,9
659,14
26,0
624,9
511,14
273,12
715,1
789,0
743,4
247,8
11,1
129,13
550,10
881,12
104,14
934,1
518,6
523,5
529,11
750,4
593,0
406,14
500,9
925,11
1005,4
16,10
811,2
860,14
603,11
1034,2
882,4
76,4
740,11
711,2
921,3
300,12
726,9
116,12
537,1
907,0
957,11
123,6
382,2
589,3
174,10
826,5
855,8
756,13
39,12
269,9
